Country,Life expectancy at birth,Mean years of schooling,Gross national income (GNI) per capita (PPP $)
Afghanistan,64.047,3.78,1823.52936
Albania,78.495,10.02511,11885.50814
Algeria,76.293,7.96657,13802.01307
Andorra,81.663,10.15545,47573.87008
Angola,61.809,5.12546,5789.861511
Antigua and Barbuda,76.519,9.23618,20763.64427
Argentina,76.738,9.94943,18460.73665
Armenia,74.782,11.66751,9143.677637
Australia,83.068,12.85504,43560.05774
Austria,81.77,12.1487132,45415.10118
Azerbaijan,72.123,10.73051,15599.61753
Bahamas,75.823,11.0799,26680.62448
Bahrain,77.038,9.41183,41579.92716
Bangladesh,72.808,5.78332,3676.923378
Barbados,76.057,10.5569,15842.94268
Belarus,73.07,12.2638,16323.46154
Belgium,81.303,11.78389,42156.37247
Belize,70.588,10.48,7165.80992
Benin,61.171,3.64903,2061.433065
Bhutan,70.565,3.1337,8064.827651
Bolivia (Plurinational State of),69.473,8.91507,6714.027191
Bosnia and Herzegovina,77.087,9.69292,11716.0207
Botswana,67.618,9.25333,15533.64924
Brazil,75.723,7.76,13755.33693
Brunei Darussalam,77.374,9.06,76427.21032
Bulgaria,74.874,11.81483,18740.11184
Burkina Faso,60.77,1.46953,1650.092096
Burundi,57.857,2.96889,702.2560922
Cabo Verde,73.004,6.12469,5983.137566
Cambodia,69.331,4.844,3412.937431
Cameroon,58.575,6.26246,3314.744584
Canada,82.541,13.28189,43433.16672
Central African Republic,52.89,4.256,663.1516331
Chad,53.208,2.32333,1750.185697
Chile,79.732,10.34355,21909.50098
China,76.41,7.848,15269.76124
Colombia,74.562,8.2687,12937.87977
Comoros,63.912,4.832,1398.797513
Congo,65.088,6.31,5694.221011
Congo (Democratic Republic of the),60.031,6.75948,795.8264152
Costa Rica,80.03,8.76355,14636.38192
Côte d'Ivoire,54.102,5.192,3481.22531
Croatia,77.807,11.26731,22162.33726
Cuba,79.921,11.75078,7524.4
Cyprus,80.67,12.10394,31567.6881
Czechia,78.877,12.74035,30588.30081
Denmark,80.878,12.58779,47918.49167
Djibouti,62.643,4.07,3391.747048
Dominica,78.032,7.8,8343.930644
Dominican Republic,74.048,7.82541,13920.99426
Ecuador,76.551,8.70158,10346.61944
Egypt,71.661,7.218,10354.80181
El Salvador,73.75,6.8945,6868.107606
Equatorial Guinea,57.939,5.53909,19512.53253
Eritrea,65.536,3.95245,1750.458994
Estonia,77.709,12.66743,28993.24772
Eswatini (Kingdom of),58.268,6.52137,7619.943492
Ethiopia,65.874,2.68114,1719.378176
Fiji,70.417,10.79,8324.309996
Finland,81.496,12.43961,41002.27094
France,82.716,11.51082,39253.94701
Gabon,66.48,8.17273,16430.68992
Gambia,61.424,3.538,1515.619983
Georgia,73.436,12.81457,9186.409714
Germany,81.178,14.08202,46135.84754
Ghana,63.033,7.062,4096.173789
Greece,81.41,10.75089,24648.09694
Grenada,73.78,8.67566,12863.74575
Guatemala,73.654,6.47414,7278.142303
Guinea,60.617,2.56848,2066.672358
Guinea-Bissau,57.805,3.00392,1551.809772
Guyana,66.766,8.4165,7446.545958
Haiti,63.589,5.25,1665.462596
Honduras,73.774,6.53113,4215.293803
"Hong Kong, China (SAR)",84.097,12.03813,58419.70992
Hungary,76.063,11.88941,25392.97167
Iceland,82.912,12.36378,45810.19585
India,68.803,6.398,6353.045173
